id,class_id,student_id,name,email,created_at,updated_at
0057fa81-ceb2-4a1c-bbdb-41e73fec315b,cf87cdc6-697e-453f-8f32-9c701c52ebdc,D23DCCN1060,Lê Hồng Uyên,d23dccn1060@stu.ptit.edu.vn,2025-11-21 10:44:27.954,2025-11-21 10:44:27.954
008d9421-0fad-4c52-8d9e-9671dc06afc4,ebacacc9-f463-4fc9-8538-2f6a02bd6a10,D23DCCN1099,Trần Đức Quân,d23dccn1099@stu.ptit.edu.vn,2025-11-21 10:44:32.17,2025-11-21 10:44:32.17
0292cf4e-15c0-44d9-b09f-7f14672cce91,ebacacc9-f463-4fc9-8538-2f6a02bd6a10,D23DCCN1085,Đặng Tuấn Tú,d23dccn1085@stu.ptit.edu.vn,2025-11-21 10:44:30.69,2025-11-21 10:44:30.69
05190d22-3a7d-45ef-9410-e683044b86c5,cf87cdc6-697e-453f-8f32-9c701c52ebdc,D23DCCN1076,Đỗ Hữu Uyên,d23dccn1076@stu.ptit.edu.vn,2025-11-21 10:44:29.671,2025-11-21 10:44:29.671
05e3be6f-2832-43ea-8bcd-2b46b14c2f96,cf87cdc6-697e-453f-8f32-9c701c52ebdc,D23DCCN1046,Phan Văn Hà,d23dccn1046@stu.ptit.edu.vn,2025-11-21 10:44:26.44,2025-11-21 10:44:26.44
0df1a4f3-bcca-4d5a-add0-1da0e94fe9a2,ebacacc9-f463-4fc9-8538-2f6a02bd6a10,D23DCCN1098,Đỗ Phương Hà,d23dccn1098@stu.ptit.edu.vn,2025-11-21 10:44:32.064,2025-11-21 10:44:32.064
0ea97ed2-bebc-4830-bf63-278cbb8843a7,f1d2b172-f72d-4c43-81af-58c6916c0c93,D23DCCN1004,Võ Tuấn Việt,d23dccn1004@stu.ptit.edu.vn,2025-11-21 10:44:21.87,2025-11-21 10:44:21.87
0eeda3aa-ac18-4ea0-924f-7c87457eb47e,f1d2b172-f72d-4c43-81af-58c6916c0c93,D23DCCN1032,Dương Tuấn Quân,d23dccn1032@stu.ptit.edu.vn,2025-11-21 10:44:24.882,2025-11-21 10:44:24.882
1707dd5d-949c-4bb1-95d7-425c967eea2e,f1d2b172-f72d-4c43-81af-58c6916c0c93,D23DCCN1021,Hoàng Thanh Uyên,d23dccn1021@stu.ptit.edu.vn,2025-11-21 10:44:23.701,2025-11-21 10:44:23.701
1943ac1b-d728-4199-a616-52171f492c75,ebacacc9-f463-4fc9-8538-2f6a02bd6a10,D23DCCN1097,Huỳnh Tuấn An,d23dccn1097@stu.ptit.edu.vn,2025-11-21 10:44:31.957,2025-11-21 10:44:31.957
1ae72425-1c99-4ea6-b929-401e626074fa,cf87cdc6-697e-453f-8f32-9c701c52ebdc,D23DCCN1063,Ngô Hữu Tâm,d23dccn1063@stu.ptit.edu.vn,2025-11-21 10:44:28.278,2025-11-21 10:44:28.278
1b0cd4cc-edcf-4365-a2ed-7dc1ddf0cc33,cf87cdc6-697e-453f-8f32-9c701c52ebdc,D23DCCN1064,Đặng Văn Phong,d23dccn1064@stu.ptit.edu.vn,2025-11-21 10:44:28.386,2025-11-21 10:44:28.386
1be91abe-49ee-4426-b890-62eed6813c1a,ebacacc9-f463-4fc9-8538-2f6a02bd6a10,D23DCCN1115,Dương Đức Mai,d23dccn1115@stu.ptit.edu.vn,2025-11-21 10:44:33.862,2025-11-21 10:44:33.862
1c3aee03-1009-4257-8a59-875eb013b6a4,ebacacc9-f463-4fc9-8538-2f6a02bd6a10,D23DCCN1091,Đỗ Phương Yến,d23dccn1091@stu.ptit.edu.vn,2025-11-21 10:44:31.317,2025-11-21 10:44:31.317
1de45416-bd4d-42d7-b3f5-635ff59ca5ef,f1d2b172-f72d-4c43-81af-58c6916c0c93,D23DCCN1030,Ngô Văn Dũng,d23dccn1030@stu.ptit.edu.vn,2025-11-21 10:44:24.667,2025-11-21 10:44:24.667
1e637e19-3cad-42df-a6d1-1a089e422576,ebacacc9-f463-4fc9-8538-2f6a02bd6a10,D23DCCN1084,Đặng Anh Quân,d23dccn1084@stu.ptit.edu.vn,2025-11-21 10:44:30.583,2025-11-21 10:44:30.583
2afd952e-8040-4174-b708-9e3f90e3a78a,ebacacc9-f463-4fc9-8538-2f6a02bd6a10,D23DCCN1096,Vũ Thị Mai,d23dccn1096@stu.ptit.edu.vn,2025-11-21 10:44:31.849,2025-11-21 10:44:31.849
2ea5edf7-4118-460f-8251-3d270f9902df,f1d2b172-f72d-4c43-81af-58c6916c0c93,D23DCCN1011,Đặng Hồng Việt,d23dccn1011@stu.ptit.edu.vn,2025-11-21 10:44:22.624,2025-11-21 10:44:22.624
36159e48-9774-4051-9df5-0d9ffd3d8c3c,cf87cdc6-697e-453f-8f32-9c701c52ebdc,D23DCCN1061,Huỳnh Thanh Đạt,d23dccn1061@stu.ptit.edu.vn,2025-11-21 10:44:28.063,2025-11-21 10:44:28.063
3925751a-1199-4b15-9a94-73a6ef9bbbb7,cf87cdc6-697e-453f-8f32-9c701c52ebdc,D23DCCN1065,Phan Kim Dũng,d23dccn1065@stu.ptit.edu.vn,2025-11-21 10:44:28.492,2025-11-21 10:44:28.492
3a3f8611-962b-47e7-97aa-cad3e053f721,f1d2b172-f72d-4c43-81af-58c6916c0c93,D23DCCN1007,Huỳnh Quốc Nam,d23dccn1007@stu.ptit.edu.vn,2025-11-21 10:44:22.193,2025-11-21 10:44:22.193
3cf92995-50d8-44e9-989a-83e8019d6178,cf87cdc6-697e-453f-8f32-9c701c52ebdc,D23DCCN1042,Đặng Hữu Quân,d23dccn1042@stu.ptit.edu.vn,2025-11-21 10:44:26.011,2025-11-21 10:44:26.011
3d9d68d2-4be8-4bce-9e7b-bf2417f60f4f,ebacacc9-f463-4fc9-8538-2f6a02bd6a10,D23DCCN1114,Lê Phương Phong,d23dccn1114@stu.ptit.edu.vn,2025-11-21 10:44:33.755,2025-11-21 10:44:33.755
3e3a07a8-671a-43fd-babf-cf1d5242276b,cf87cdc6-697e-453f-8f32-9c701c52ebdc,D23DCCN1041,Bùi Quốc Hà,d23dccn1041@stu.ptit.edu.vn,2025-11-21 10:44:25.899,2025-11-21 10:44:25.899
3f3e97b5-f649-4342-a80a-703e6d1cb460,cf87cdc6-697e-453f-8f32-9c701c52ebdc,D23DCCN1053,Bùi Thanh Tâm,d23dccn1053@stu.ptit.edu.vn,2025-11-21 10:44:27.206,2025-11-21 10:44:27.206
4046b7f7-1dbc-47bb-b82f-97bbb8c6d289,ebacacc9-f463-4fc9-8538-2f6a02bd6a10,D23DCCN1092,Huỳnh Kim Chi,d23dccn1092@stu.ptit.edu.vn,2025-11-21 10:44:31.427,2025-11-21 10:44:31.427
4615bbb4-7602-4240-a0c0-d3d7824cbf33,f1d2b172-f72d-4c43-81af-58c6916c0c93,D23DCCN1009,Lê Văn Việt,d23dccn1009@stu.ptit.edu.vn,2025-11-21 10:44:22.409,2025-11-21 10:44:22.409
47ec9d5b-7f7c-42ae-baf0-0093ed551950,cf87cdc6-697e-453f-8f32-9c701c52ebdc,D23DCCN1054,Võ Minh Đạt,d23dccn1054@stu.ptit.edu.vn,2025-11-21 10:44:27.314,2025-11-21 10:44:27.314
4912140e-c7e0-48ef-a408-1e97ef42f321,f1d2b172-f72d-4c43-81af-58c6916c0c93,D23DCCN1024,Nguyễn Anh Đạt,d23dccn1024@stu.ptit.edu.vn,2025-11-21 10:44:24.025,2025-11-21 10:44:24.025
